운영기관,충전소,충전기ID,충전기타입,시설구분(대),시설구분(소),지역,시군구,주소,이용가능시간,이용자 제한,충전용량,편의제공,비고
서울시,송월동차고지,14,AC완속,관광시설,박물관,서울특별시,종로구 ,"서울특별시 종로구 송월길 52 (송월동, 국립기상박물관) 지상1층 주차장 왼쪽 5M(급속), 오른쪽 5M(완속)","주중 08:00~19:00, 주말 09:00~18:00",,완속(7kW단독),N,
서울시,송월동차고지,15,AC완속,관광시설,박물관,서울특별시,종로구 ,"서울특별시 종로구 송월길 52 (송월동, 국립기상박물관) 지상1층 주차장 왼쪽 5M(급속), 오른쪽 5M(완속)","주중 08:00~19:00, 주말 09:00~18:00",,완속(7kW단독),N,
서울시,송월동차고지,16,AC완속,관광시설,박물관,서울특별시,종로구 ,"서울특별시 종로구 송월길 52 (송월동, 국립기상박물관) 지상1층 주차장 왼쪽 5M(급속), 오른쪽 5M(완속)","주중 08:00~19:00, 주말 09:00~18:00",,완속(7kW단독),N,
서울시,송월동차고지,17,AC완속,관광시설,박물관,서울특별시,종로구 ,"서울특별시 종로구 송월길 52 (송월동, 국립기상박물관) 지상1층 주차장 왼쪽 5M(급속), 오른쪽 5M(완속)","주중 08:00~19:00, 주말 09:00~18:00",,완속(7kW단독),N,
서울시,송월동차고지,18,AC완속,관광시설,박물관,서울특별시,종로구 ,"서울특별시 종로구 송월길 52 (송월동, 국립기상박물관) 지상1층 주차장 왼쪽 5M(급속), 오른쪽 5M(완속)","주중 08:00~19:00, 주말 09:00~18:00",,완속(7kW단독),N,
서울시,송정동주민센터,1,DC콤보,공공시설,주민센터,서울특별시,성동구 ,서울특별시 성동구 동일로43길 13 송정동주민센터,24시간 이용가능,,급속(100kW단독),N,
서울시,수락산 근린공원 공영주차장,1,DC콤보,주차시설,공영주차장,서울특별시,노원구 ,"서울특별시 노원구 상계동 14 (상계동, 수락산 공영주차장) 지상1층 정면 10m",24시간 이용가능,,급속(100kW동시),N,
서울시,수락산 근린공원 공영주차장,2,DC콤보,주차시설,공영주차장,서울특별시,노원구 ,"서울특별시 노원구 상계동 14 (상계동, 수락산 공영주차장) 지상1층 정면 10m",24시간 이용가능,,급속(100kW동시),N,
서울시,수락산당고개공원,1,DC콤보,주차시설,공영주차장,서울특별시,노원구 ,"서울 노원구 상계로 273 (상계동, 수락산당고개지구공원) 지상1층 정면 10m",24시간 이용가능,,급속(100kW단독),N,
서울시,수락산당고개공원,2,DC콤보,주차시설,공영주차장,서울특별시,노원구 ,"서울 노원구 상계로 273 (상계동, 수락산당고개지구공원) 지상1층 정면 10m",24시간 이용가능,,급속(100kW단독),N,
